convention,solvent,n,mean_B_minus_A,MAE,RMSE,residual_SD_after_removal,residual_SD_reduction
existing,diphenyl ether,28,-0.07743252888697197,0.2574313454544262,0.34473855792887215,0.5359826501029015,-0.005369485562725429
existing,dimethyl sulfoxide,28,-0.18141724861488975,0.3282052366468003,0.3955560035603875,0.5360153117365007,-0.0054021471963247025
existing,acetone,28,-0.29149349987667994,0.40571396695191914,0.4542367382565072,0.5360585430563825,-0.005445378516206412
existing,dodecane,28,-0.02947447624874925,0.23875272588172836,0.3398459278605602,0.5361076855859743,-0.005494521045798284
existing,ethyl acetate,28,-0.12623811379374775,0.28767440546411044,0.3602543931602899,0.536109779570741,-0.0054966150305649775
existing,heptane,28,-0.06279387336897788,0.25115763594671436,0.34381174312703716,0.5361517437565183,-0.005538579216342265
existing,methylacetate,28,-0.15487142008588226,0.3081267671013494,0.3721465858438387,0.5362023221428416,-0.00558915760266554
existing,2-butanone,28,-0.22178596611472887,0.35592287140766843,0.41149709741333873,0.5362028488812836,-0.005589684341107515
existing,"n,n-dimethylformamide",28,-0.24554401042536161,0.37289290305812023,0.42313007818916554,0.5362087938056117,-0.005595629265435664
existing,hexane,28,-0.0834745602417335,0.2611129382391367,0.3479037834845136,0.5362592154828322,-0.005646050942656133
normalized,water,28,-1.3552361398145474,1.3552361398145474,1.434689320436133,0.23508824882096505,0.2378537679401577
normalized,chloroform,28,-1.676341133549652,1.676341133549652,1.6949443339479595,0.4010365190498893,0.07190549771123345
normalized,dichloromethane,28,-0.9813802813928706,0.9813802813928706,1.0096347932725631,0.4611164419823601,0.011825574778762615
normalized,isopropylamine,28,0.25121112266676476,0.25207322805947224,0.3422354795398114,0.4739327299581203,-0.0009907131969975613
normalized,"1,2-propanediol",28,0.2647425966882993,0.2647425966882993,0.3547875463215106,0.47546675683991635,-0.002524740078793608
normalized,ethylene glycol,28,0.22306604491227597,0.2279942118545894,0.32593131729121494,0.47689974237472127,-0.003957725613598528
normalized,benzene,28,0.07144251178660108,0.1427513783678522,0.24250184540574915,0.47712431159043095,-0.0041822948293082085
normalized,cyclohexanol,28,0.13698633447399175,0.15645761203025915,0.27216709994571625,0.47717264031774653,-0.0042306235566237915
normalized,isopropanol,28,0.10020116987603912,0.14537811275593918,0.2572338188371369,0.4776457128655215,-0.004703696104398747
normalized,toluene,28,0.0473279718186763,0.14695466432032062,0.23579400841556908,0.4777887440995069,-0.004846727338384149
normalized,"2,3-dihydropyran",28,0.0115530723130829,0.16228676410843215,0.23167348784722447,0.47806389753076733,-0.005121880769644593
normalized,1-propanol,28,0.0711167364654954,0.14193913836905778,0.24540963633969198,0.47807710352475746,-0.005135086763634722
normalized,tetrahydrofuran,28,-0.013779558010143602,0.17357662027130963,0.23241216894900257,0.47814409879443126,-0.005202082033308519
normalized,tetrahydropyran,28,0.004552362280559029,0.16745178130174762,0.2321458078309483,0.47814526177284283,-0.005203245011720092
normalized,o-xylene,28,0.028538971050513146,0.1556291116629235,0.233461119210811,0.47818206938124597,-0.005240052620123226
normalized,tert-butanol,28,0.005804504349777521,0.1743013531002858,0.24410299173066966,0.47855811745654236,-0.0056161006954196235
normalized,ethanol,28,0.015880042099880913,0.1666585698557907,0.23892328849435432,0.4785863109880815,-0.005644294226958779
normalized,methanol,28,0.011215805204470226,0.1725107469502731,0.24557786962827435,0.4785942950713698,-0.005652278310247061
normalized,diphenyl ether,28,-0.009864302759912482,0.17402516995397602,0.23138994563934395,0.4786182821498149,-0.005676265388692148
normalized,acetylacetone,28,-0.20557208633937085,0.3017581262974007,0.32568856001055707,0.47865598114648883,-0.005713964385366088
normalized,triethylamine,28,-0.013966142255683359,0.1812846400594293,0.23884911743847362,0.47874023653334935,-0.005798219772226609
normalized,acetic acid,28,-0.13146582169812915,0.25376988013519874,0.2852496254111541,0.4787558489838682,-0.005813832222745452
normalized,cyclohexane,28,0.00048166935170462777,0.1714654896126536,0.23445249999915643,0.4787720606740035,-0.005830043912880778
normalized,acetone,28,-0.23906855474213093,0.3256841751565151,0.3451262332020053,0.4788322368220035,-0.0058902200608807465
normalized,dimethyl sulfoxide,28,-0.13503677535160724,0.25582977310019134,0.2870265234814893,0.4788335124900415,-0.005891495728918783
normalized,ethyl acetate,28,-0.06961432248188935,0.20833553355946832,0.24349231823411732,0.47894858456446915,-0.006006567803346408
normalized,hexane,28,-0.015906103753787953,0.1789753893286999,0.23434428927229295,0.47898264830822446,-0.006040631547101716
normalized,dodecane,28,0.007039317795860672,0.16890563870600106,0.23509848359866317,0.479008210376751,-0.006066193615628268
normalized,heptane,28,-0.018043112251681426,0.18054802540960452,0.23491320817351358,0.4790318109429641,-0.006089794181841357
normalized,2-butanone,28,-0.17276100417379828,0.2794623245943953,0.30096993095997754,0.47903184488858785,-0.006089828127465113
normalized,"n,n-dimethylformamide",28,-0.19424133031512825,0.29366472913722746,0.31156439710219175,0.47903230619707904,-0.006090289435956298
normalized,methylacetate,28,-0.10078797923093871,0.22918521587838342,0.25546312795499065,0.479058503954636,-0.006116487193513265
