polymer,convention,solute,solvent,A_logP_concentration,B_logP_concentration,delta_B_minus_A,A_logP_x,B_logP_x,sign_changed
pvc,normalized,DBP,tert-butanol,-0.05119078808866856,0.048941694265236924,0.10013248235390548,-0.4904889018368967,-0.38160071916748534,True
pvc,normalized,DEHP,acetylacetone,0.04803034144398399,-0.326334278618473,-0.37436462006245697,-0.35576690059226657,-0.7213758203392177,True
pvc,normalized,DEHP,dimethyl sulfoxide,0.1476318146079173,-0.15907517131611015,-0.30670698592402745,-0.41575737557253334,-0.7137086611810549,True
pvdf,normalized,DEP,"2,3-dihydropyran",-0.346775934212712,0.21369279251063977,0.5604687267233518,-0.7713414512837222,-0.20752614687523235,True
pvdf,normalized,DEP,2-butanone,-0.27211829065605325,0.20956125672289846,0.4816795473789517,-0.7009761212334664,-0.21594999616937668,True
pvdf,normalized,DEP,acetone,-0.12528158800185063,0.30401849806619163,0.42930008606804226,-0.6404607296348591,-0.2078140658816788,True
pvdf,normalized,DEP,benzene,-0.32133589587065103,0.2822200975881448,0.6035559934587958,-0.7546481494536248,-0.1477455783096909,True
pvdf,normalized,DEP,dimethyl sulfoxide,-0.4360762395727392,0.09198987510926726,0.5280661146820065,-0.9675054766347557,-0.4360927842676112,True
pvdf,normalized,DEP,ethyl acetate,-0.38329368978505757,0.1340776000240061,0.5173712898090637,-0.7745095385777754,-0.25379167108357376,True
pvdf,normalized,DEP,isopropylamine,-0.684939069505837,0.11941537669565161,0.8043544462014887,-1.1330049543120397,-0.325303930425413,True
pvdf,normalized,DEP,methylacetate,-0.25611890058054876,0.24141137420283226,0.497530274783381,-0.7379693094193243,-0.23709245695080522,True
pvdf,normalized,DEP,"n,n-dimethylformamide",-0.1643966380073394,0.2893243544587767,0.4537209924661161,-0.6606707443392476,-0.20360317418799337,True
pvdf,normalized,DEP,tetrahydrofuran,-0.14986682651251754,0.4019167747275332,0.5517836012400508,-0.6221420794278053,-0.0670119005026166,True
pvdf,normalized,DEP,tetrahydropyran,-0.3860439259546798,0.1957370756007759,0.5817810015554556,-0.7795965414249639,-0.1944689621843702,True
pvdf,normalized,DEP,toluene,-0.5523988407754885,0.04239124777384912,0.5947900885493376,-0.90827747229763,-0.3101408060631543,True
pvdf,normalized,DBP,dimethyl sulfoxide,-0.3443921094140324,0.03573411044301078,0.3801262198570432,-0.8758213464760489,-0.4923485489338677,True
pvdf,normalized,DBP,diphenyl ether,-0.2573199201020661,0.22585890822968457,0.4831788283317507,-0.5267616568742177,-0.0549366275793733,True
pvdf,normalized,DBP,ethyl acetate,-0.0818125202703307,0.3418376081637403,0.423650128434071,-0.4730283690630485,-0.04603166294383952,True
pvdf,normalized,DBP,isopropylamine,-0.30471140532607627,0.4232779573341171,0.7279893626601934,-0.7527772901322789,-0.021441349786947516,True
pvdf,normalized,DBP,methylacetate,-0.005332142392749983,0.39488303339196934,0.4002151757847193,-0.4871825512315255,-0.08362079776166813,True
pvdf,normalized,DBP,o-xylene,-0.22007177154155794,0.28480720606150506,0.504878977603063,-0.5208494278225553,-0.012623872534354253,True
pvdf,normalized,DBP,toluene,-0.0762964379307956,0.4425948661037573,0.5188913040345529,-0.43217506945293704,0.09006281226675389,True
pvdf,normalized,DBP,triethylamine,-0.46361940878304975,0.005483869981129985,0.46910327876417973,-0.7022238341561873,-0.22977397770686953,True
pvdf,normalized,BBP,acetylacetone,-0.22659823277769625,0.13191833744094691,0.35851657021864314,-0.5984355216955127,-0.2365723737917315,True
pvdf,normalized,BBP,dimethyl sulfoxide,-0.06960504585429306,0.3700185803727919,0.43962362622708495,-0.6010342829163096,-0.1580640790040866,True
pvdf,normalized,BBP,diphenyl ether,-0.32814233844294954,0.22852829663387383,0.5566706350768234,-0.5975840752151012,-0.052267239175184034,True
