solute,solvent,A_status,A_solvent_volume_cm3_mol,A_solvent_volume_source,A_PE_volume_cm3_mol,A_PE_volume_source,A_logP_x,A_logP_concentration,A_legacy_unnormalized_x1e5_logP_concentration,B_status,B_solvent_volume_cm3_mol,B_solvent_volume_source,B_PE_volume_cm3_mol,B_PE_volume_source,B_logP_x,B_logP_concentration,B_legacy_unnormalized_x1e5_logP_concentration,B_OPT_weight_sensitivity_logP_concentration,delta_B_minus_A,delta_B_minus_A_x,sign_changed
DBP,methylacetate,predicted,79.9600626045658,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.9023585996522856,1.2004989811506679,0.7101093988746455,predicted,79.9600626045658,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.7219239780930371,1.0149836648508832,0.5426074326486733,1.0148545623696483,-0.18551531629978468,-0.1804346215592485,False
DBP,"n,n-dimethylformamide",predicted,77.34806045201447,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.965123199543025,1.2776872785345397,0.787289127013005,predicted,77.34806045201447,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.6947138896665087,1.0021972739174876,0.5298148405249397,1.0020681714362525,-0.2754900046170521,-0.27040930987651624,False
DBP,o-xylene,predicted,121.3237646843717,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.8686917230612559,0.9857593520018599,0.49537158480822036,predicted,121.3237646843717,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.7929209033203509,0.9049078375204189,0.43252758217986215,0.9047787350391839,-0.08085151448144101,-0.07577081974090494,False
DBP,tert-butanol,predicted,94.92604213357237,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.3730071673302768,0.5966353006196775,0.10626023925906149,predicted,94.92604213357237,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.3284134578115901,0.5469608963604549,0.07459440302213663,0.5468317938792198,-0.04967440425922265,-0.044593709518686686,False
DBP,tetrahydrofuran,predicted,81.74256878009076,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.2552415457540806,1.5438067713289751,1.053400233283424,predicted,81.74256878009076,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.1309875725718546,1.4144721034062129,0.9420748880710452,1.414343000924978,-0.12933466792276227,-0.12425397318222609,False
DBP,tetrahydropyran,predicted,97.98755446344266,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.111584338320194,1.3214269264500849,0.8310278239438802,predicted,97.98755446344266,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.005198187746619,1.2099600811359736,0.7375696897643369,1.2098309786547388,-0.11146684531411122,-0.10638615057357503,False
DBP,toluene,predicted,106.86731616794246,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.9573660814308741,1.1295346856126223,0.6391432794780456,predicted,106.86731616794246,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.8956075881214591,1.0626954975626712,0.590310748292035,1.0625663950814361,-0.06683918804995104,-0.061758493309414964,False
DBP,triethylamine,predicted,139.99712238974465,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.6873173167276238,0.742211714760368,0.25182891669933977,predicted,139.99712238974465,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.5757707981478357,0.625584501440044,0.15321286968819112,0.6254553989588088,-0.116627213320324,-0.11154651857978803,False
DBP,water,predicted,18.07,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,-5.273742994852998,-4.329687640439367,-4.8190674772770645,predicted,18.07,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,-6.352296932979717,-5.4133222733066235,-5.884398742148966,-5.413451375787858,-1.0836346328672564,-1.0785539381267197,False
BBP,"1,2-propanediol",predicted,73.69347697242269,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,-0.17199557705048718,0.16158888223133416,-0.3287638060647775,predicted,73.69347697242269,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,-0.10256524889368457,0.22593851564760076,-0.24640780957167657,0.22575335414203176,0.0643496334162666,0.06943032815680261,False
BBP,1-propanol,predicted,75.0812393102061,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.42387595903160036,0.7493580334215072,0.25898867720085356,predicted,75.0812393102061,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.327013572107012,0.6474149517563829,0.17505672882142304,0.647229790250814,-0.10194308166512434,-0.09686238692458837,False
BBP,"2,3-dihydropyran",predicted,91.23427331887201,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.4628843751393636,1.7037398648699806,1.2133302250092823,predicted,91.23427331887201,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.2923655221922101,1.528140317182291,1.0557408173303173,1.527955155676722,-0.1755995476876897,-0.17051885294715352,False
