inchikey,name,cas,array_index,job_id,status,dft_converged,failure_mode,error,atoms,heavy_atoms,rotatable_bonds,stratum,selection_role,node,cpu_model,cpu_generation,geometry_cycles,opt_wall_seconds,cosmo_wall_seconds,total_orca_wall_seconds,orca_internal_opt_seconds,orca_internal_cosmo_seconds,orca_internal_total_seconds,elapsed_seconds,slurm_state,slurm_elapsed_seconds,maxrss_kib,surface_bytes,returned_bytes,surface_sha256,inchikey_after_optimization,predicted_seconds,residual_seconds,observed_predicted_ratio,log_residual,attempt_seconds
FMMOOAYVCKXGMF-MURFETPASA-N,Ethyl Linoleate,544-35-4,18,54154_18,converged,True,,,58,22,15,55-62,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,37,5872.670081348158,922.2384488163516,6794.90853016451,5872.428,922.199,6794.6269999999995,6795.422935515642,COMPLETED,6795,1230112.0,622302,643311,52e3cf564b33fd36d4d50f2704d819e4fbdd1b567cb78ef7a1772bea27ad6b48,FMMOOAYVCKXGMF-MURFETPASA-N,6513.198053013009,281.71047715150144,1.0432522510230104,0.1494453644335234,6795.422935515642
BNCADMBVWNPPIZ-UHFFFAOYSA-N,Hexa(methoxymethyl)melamine,3089-11-0,19,54154_19,converged,True,,,57,27,15,55-62,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,22,4438.17436905019,964.9115555798635,5403.085924630053,4437.927,964.875,5402.802,5403.554019662552,COMPLETED,5404,1409288.0,608483,629046,74c3ccf7d5bd7527c69b1186bfc63e4b110b8e489734dbed3e484b116e695e4b,BNCADMBVWNPPIZ-UHFFFAOYSA-N,6257.1831901694295,-854.0972655393762,0.8635013168735037,-0.039657490110927895,5403.554019662552
ZMWRRFHBXARRRT-UHFFFAOYSA-N,UV-328,25973-55-1,20,54154_20,converged,True,,,55,26,5,55-62,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,8,1960.5072779776528,1127.2384955929592,3087.745773570612,1960.452,1127.206,3087.658,3088.0534314047545,COMPLETED,3088,1283080.0,560851,580357,418351658af2aea059efcec592e40cb77da5d2119210df20530fa7d4bd5075e7,ZMWRRFHBXARRRT-UHFFFAOYSA-N,5762.516364400635,-2674.770590830023,0.5358328858978905,-0.5168305803221429,3088.0534314047545
SJPFBRJHYRBAGV-UHFFFAOYSA-N,"N,N,N',N'-Tetrakis(2,3-epoxypropyl)-m-xylene-alpha,alpha'-diamine",63738-22-7,21,54154_21,failed,True,identity_unresolved_stereochemistry,Geometry identity not accepted under current policy; see identity_observations,54,26,12,47-54,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,12,2365.5809346409515,987.2867640322074,3352.867698673159,2365.533,987.205,3352.738,3353.10384853743,COMPLETED,3353,1412612.0,575858,595432,7d2f9506834f9efcff4b99a034c989e28b91e66380352409f9b75f1ce8a8886b,SJPFBRJHYRBAGV-LWYYNNOASA-N,5523.801430470361,-2170.933731797202,0.6069855589265193,-0.39214791285705886,3353.10384853743
BSIHWSXXPBAGTC-UHFFFAOYSA-N,Isoviolanthrone,128-64-3,22,54154_22,converged,True,,,52,36,0,47-54,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,7,2212.2034979155287,1420.0887823328376,3632.2922802483663,2212.068,1420.02,3632.088,3632.759681380354,COMPLETED,3633,1482472.0,595924,614761,9555bb51ca7fbbeff45eb78d49f3002cfbd317e964c690a9265fb064e1bf4d3f,BSIHWSXXPBAGTC-UHFFFAOYSA-N,5063.448091675947,-1431.1558114275804,0.7173554886875747,-0.2250813948847039,3632.759681380354
TVZGACDUOSZQKY-LBPRGKRZSA-N,Aminopterin,54-62-6,23,54154_23,converged,True,,,52,32,9,47-54,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,27,5869.465226676315,1005.0074290689081,6874.472655745223,5869.276,1004.965,6874.241,6875.565261837095,COMPLETED,6876,1444712.0,583163,602728,085dd9ee4d8344ce0613648bfa3e9063f416bc1e83bc603c4e41beba8bab98da,TVZGACDUOSZQKY-LBPRGKRZSA-N,5063.448091675947,1811.0245640692765,1.357666264426905,0.4128696099692224,6875.565261837095
WAQDJMLHOZJJPM-UHFFFAOYSA-N,"12,15-Octadecadiynoic acid, methyl ester",57156-95-3,24,54154_24,converged,True,,,51,21,10,47-54,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,48,5728.875661668368,589.3921715421602,6318.267833210528,5728.626,589.354,6317.9800000000005,6318.581508383155,COMPLETED,6319,1339484.0,578219,597965,6388a0644a7c548c28ee36677f42aa12d98e0b57d0896b42408d547c5f6fa1be,WAQDJMLHOZJJPM-UHFFFAOYSA-N,4841.744261300982,1476.5235719095463,1.3049569519214554,0.37327241944114853,6318.581508383155
GKFPPCXIBHQRQT-UHFFFAOYSA-N,"6-(2-Carboxy-4,5-dihydroxy-6-methoxyoxan-3-yl)oxy-4,5-dihydroxy-3-methoxyoxane-2-carboxylic acid",9005-34-9,25,54154_25,failed,True,identity_unresolved_stereochemistry,Geometry identity not accepted under current policy; see identity_observations,49,27,6,47-54,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,13,2565.4661299558356,1018.9436586955562,3584.409788651392,2565.417,1018.896,3584.313,3584.560526933521,COMPLETED,3585,1274116.0,485992,504507,d5bc2f1ef109e1a005f268989f7077390ff7b458dbd825c95a7b1b93123547e8,GKFPPCXIBHQRQT-RCEWTTOGSA-N,4415.115415222013,-830.7056265706215,0.8118496237478654,-0.10133778215548794,3584.560526933521
VETHREXFBVHLJJ-UHFFFAOYSA-N,"4,4'-Hexamethylenebis(1,1-dimethylsemicarbazide)",69938-76-7,26,54154_26,converged,True,,,48,20,9,47-54,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,21,3260.3526115659624,591.9222439220175,3852.27485548798,3260.138,591.844,3851.982,3852.5424880515784,COMPLETED,3853,1020512.0,489719,508009,f28af3327ad4557ecbc615b967af3c27b15f482a20ab0be9e1796fc97743c8a7,VETHREXFBVHLJJ-UHFFFAOYSA-N,4210.122272069579,-357.84741658159874,0.9150030822250464,0.018274521083617046,3852.5424880515784
QQKFUTGTZXPBGA-UHFFFAOYSA-N,"Benzoic acid, 4-[2-[4-(5-methyl-2-benzoxazolyl)phenyl]ethenyl]-, methyl ester",18039-18-4,27,54154_27,failed,True,identity_unresolved_stereochemistry,Geometry identity not accepted under current policy; see identity_observations,47,28,4,47-54,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,20,3085.293419824913,833.3067881129682,3918.6002079378814,3084.99,833.247,3918.2369999999996,3918.9465972473845,COMPLETED,3919,1228684.0,579702,597933,7f62e659f89162db9e8d2b89a8a378c7836f50f27ca1fb542bdd943fa5849992,QQKFUTGTZXPBGA-SNAWJCMRSA-N,4010.630425589504,-92.03021765162248,0.9770534285421985,0.08388842413708275,3918.9465972473845
