solute,solvent,A_existing_product_logP_concentration,B_same_convention_logP_concentration,delta_B_minus_A,A_logP_x,B_logP_x,sign_changed,A_solvent_volume_cm3_mol,B_solvent_volume_cm3_mol,A_volume_source,B_volume_source,A_PE_volume_cm3_mol,B_PE_volume_cm3_mol
DBP,tert-butanol,0.24282685001234827,0.23885766492987984,-0.003969185082468435,-0.11736786762521682,-0.14395301022305554,False,69.31365324066074,65.03125528448322,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,tetrahydrofuran,1.189109256985089,1.089916140444808,-0.09919311654028107,0.764835034113652,0.6585903825403594,False,59.80524641092493,58.157677444241536,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,tetrahydropyran,0.9671561348631139,0.8890941121641429,-0.078062022698971,0.6211852622191119,0.5328078216786547,False,71.62137168849715,69.1268109430644,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,toluene,0.7669619532603662,0.7310257811601868,-0.03593617210017941,0.4669747017014198,0.4232228641544954,False,79.62074839631055,77.29117245989916,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,triethylamine,0.4116119165279668,0.3339096136050946,-0.07770230292287222,0.19693454507171798,0.10339919169965543,False,96.90275746854556,92.34691473004028,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,water,-4.819067450863388,-5.884398716743602,-1.0653312658802143,-5.763122805285573,-6.823373376518388,False,18.07,18.07,table,existing product table,158.85961547235075,157.01198796538378
BBP,"1,2-propanediol",-0.2532985635191214,-0.147710109153249,0.10558845436587239,-0.6623482389020725,-0.5749115486258386,False,61.93894896652309,58.71260810815485,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,1-propanol,0.3907903212642546,0.3231573771270617,-0.0676329441371929,-0.06649337074452694,-0.14534462534082446,False,55.428077429239885,53.38642135984787,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,"2,3-dihydropyran",1.340028237319987,1.1951520801509636,-0.14487615716902336,0.9724747617231916,0.8199660478273598,False,68.14908534645096,66.1830503911641,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,2-butanone,1.4493390549797347,1.1408336075370304,-0.30850544744270425,1.059050095912528,0.7370890946210145,False,64.67322944764092,61.970970774354896,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,acetic acid,0.4001740056850179,0.045144748128774226,-0.35502925755624365,-0.14788913277037413,-0.5094615215126583,False,44.97284566788983,43.78511983835725,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,acetone,1.6384440428190554,1.2455640964500767,-0.3928799463689787,1.1536757392010704,0.7507433799724638,False,52.02896700085286,50.24722660293855,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,acetylacetone,0.9707125498366735,0.6378317314532336,-0.33288081838343997,0.6810189422396166,0.3298493843352185,False,81.53046126497641,77.25924596796884,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,benzene,1.335952850318753,1.252641442598474,-0.08331140772027901,0.9560028915604798,0.8697148842432828,False,66.23134097506642,65.01390524875977,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,chloroform,4.194046639421311,2.271701112516499,-1.9223455269048118,3.797139639601802,1.866662862361549,False,63.6951708943429,61.78663766064612,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,cyclohexane,0.28560126618911097,0.17740194532084574,-0.10819932086826523,-0.033761283512395684,-0.14817887140747504,False,76.14667727588244,74.19113166845356,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,cyclohexanol,0.14359438734720967,0.1623355615964468,0.01874117424923713,-0.03211325437113722,-0.008291385474500286,False,106.0,106.0,table,existing product table,158.85961547235075,157.01198796538378
BBP,dichloromethane,3.0973502643087634,1.893002182698916,-1.2043480816098473,2.7025167313095335,1.503249344347086,False,64.0,64.0,table,existing product table,158.85961547235075,157.01198796538378
BBP,dimethyl sulfoxide,1.1040753603159899,0.8501095395125204,-0.2539658208034694,0.678399118440222,0.4083390520742176,False,59.61249034567642,56.77567744384933,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,diphenyl ether,0.7676044827323296,0.6095018056462287,-0.15810267708610093,0.6818727732501604,0.5141504141312707,False,130.40126291900287,126.06119532135739,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,dodecane,-0.3668410005421784,-0.44815990536352274,-0.08131890482134435,-0.3457397047548121,-0.4530324428751536,False,166.76879961841385,155.26024774607131,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,ethanol,0.45937476624269,0.31741497739083796,-0.14195978885185206,-0.11474755494182656,-0.26458639042814586,False,42.35368339240653,41.10848242559007,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,ethyl acetate,1.28395555911713,1.039434599958722,-0.2445209591584081,0.932632604099206,0.6822497562363907,False,70.74415311377821,68.98393575193623,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,ethylene glycol,-0.7319813738482359,-0.6487548653499008,0.08322650849833513,-1.2457891535264467,-1.1716311819401068,False,48.66376736172253,47.10385980617775,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,heptane,-0.01485829705555014,-0.14431469059298135,-0.1294563935374312,-0.21141736790976196,-0.35861057566871785,False,101.03094986595126,95.85989021197611,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,hexane,-0.07012054200670712,-0.22408896875471557,-0.15396842674800845,-0.15187815971188753,-0.3007658918124963,False,131.6,131.6,table,existing product table,158.85961547235075,157.01198796538378
BBP,isopropanol,0.41287597130649767,0.3963748216071402,-0.016501149699357454,-0.04135592038111389,-0.07354613857943547,False,55.81894389488271,53.212278100899375,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,isopropylamine,0.8932485380830528,1.0535393941737914,0.16029085609073856,0.4605926063315699,0.6029963018044147,False,58.66209585729832,55.640332928739625,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,methanol,0.1536385725299117,-0.028925679777022317,-0.18256425230693402,-0.43778052522798533,-0.6152640828875195,True,40.7,40.7,table,existing product table,158.85961547235075,157.01198796538378
BBP,methylacetate,1.4141203458226528,1.137270649849778,-0.2768496959728748,0.9790064056213263,0.6937569636723123,False,58.33101946745017,56.54824437637754,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,"n,n-dimethylformamide",1.5398394010222138,1.1882565146753088,-0.35158288634690504,1.1273093705076467,0.764548041124529,False,61.444565354728276,59.18672896834274,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,o-xylene,0.886064688293047,0.7946146272771594,-0.0914500610158876,0.6515266072606588,0.5483182446365372,False,92.57110033559971,89.05051382340096,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,tert-butanol,0.49701140639727237,0.3956049883767353,-0.10140641802053707,0.13681668875970726,0.012794313223799949,False,69.31365324066074,65.03125528448322,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,tetrahydrofuran,1.6765381693653625,1.4979183444839517,-0.17861982488141082,1.2522639464939256,1.0665925865795032,False,59.80524641092493,58.157677444241536,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,tetrahydropyran,1.3781181382055734,1.2524661457139954,-0.125651992491578,1.0321472655615713,0.8961798552285071,False,71.62137168849715,69.1268109430644,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,toluene,1.060963466791928,0.9699363716206124,-0.09102709517131569,0.7609762152329816,0.662133454614921,False,79.62074839631055,77.29117245989916,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,triethylamine,0.6270040829396826,0.5008513790133103,-0.12615270392637223,0.4123267114834338,0.2703409571078712,False,96.90275746854556,92.34691473004028,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
BBP,water,-4.702214034338128,-6.1670942936685025,-1.464880259330375,-5.646269388760313,-7.106068953443288,False,18.07,18.07,table,existing product table,158.85961547235075,157.01198796538378
DEHP,"1,2-propanediol",-1.2563568555730047,-1.1526746488705708,0.10368220670243389,-1.6654065309559558,-1.5798760883431604,False,61.93894896652309,58.71260810815485,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,1-propanol,-0.06736897334765407,-0.2500003536676765,-0.1826313803200224,-0.5246526653564356,-0.7185023561355627,False,55.428077429239885,53.38642135984787,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,"2,3-dihydropyran",1.1013980776533863,0.9377574287148693,-0.16364064893851693,0.7338446020565907,0.5625713963912655,False,68.14908534645096,66.1830503911641,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,2-butanone,0.8793299827706469,0.39515764904212725,-0.48417233372851964,0.48904102370344,-0.008586863873888751,False,64.67322944764092,61.970970774354896,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,acetic acid,-0.814389503158417,-1.2351727525652918,-0.42078324940687484,-1.362452641613809,-1.7897790222067242,False,44.97284566788983,43.78511983835725,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,acetone,0.8935237033261558,0.33649490172613183,-0.557028801600024,0.40875539970817076,-0.1583258147514811,False,52.02896700085286,50.24722660293855,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,acetylacetone,0.018628454060687638,-0.5280587480469332,-0.5466872021076208,-0.27106515353636934,-0.8360410951649483,True,81.53046126497641,77.25924596796884,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,benzene,1.148890191682907,1.0585359458652812,-0.09035424581762586,0.768940232924634,0.6756093875100901,False,66.23134097506642,65.01390524875977,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,chloroform,4.353304568550905,2.5373705698271607,-1.815933998723744,3.9563975687313957,2.132332319672211,False,63.6951708943429,61.78663766064612,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,cyclohexane,0.667268592492273,0.4207864296686395,-0.2464821628236335,0.3479060427907663,0.0952056129403187,False,76.14667727588244,74.19113166845356,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,cyclohexanol,-0.05800462319215016,-0.2020352905384706,-0.14403066734632045,-0.23371226491049704,-0.3726622376094177,False,106.0,106.0,table,existing product table,158.85961547235075,157.01198796538378
DEHP,dichloromethane,2.819298739269632,1.6694808050389924,-1.1498179342306396,2.424465206270402,1.2797279666871622,False,64.0,64.0,table,existing product table,158.85961547235075,157.01198796538378
DEHP,dimethyl sulfoxide,0.09456767454590453,-0.38664365038910664,-0.4812113249350112,-0.33110856732986316,-0.8284141378274095,True,59.61249034567642,56.77567744384933,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,diphenyl ether,0.4797167078251,0.24817607384716528,-0.23154063397793473,0.3939849983429307,0.15282468233220733,False,130.40126291900287,126.06119532135739,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,dodecane,-0.21333434933639855,-0.4435662649954005,-0.23023191565900197,-0.19223305354903225,-0.4484388025070314,False,166.76879961841385,155.26024774607131,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,ethanol,-0.1601061190006433,-0.42012820114870675,-0.26002208214806344,-0.7342284401851599,-1.0021295689676906,False,42.35368339240653,41.10848242559007,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,ethyl acetate,0.6606192575132672,0.3783269288296187,-0.2822923286836485,0.3092963024953433,0.021142085107287416,False,70.74415311377821,68.98393575193623,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,ethylene glycol,-2.1579455327021266,-2.194762679687928,-0.03681714698580141,-2.6717533123803374,-2.717638996278134,False,48.66376736172253,47.10385980617775,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,heptane,0.20853056772511808,-0.04243786405014155,-0.2509684317752596,0.01197149687090627,-0.25673374912587804,True,101.03094986595126,95.85989021197611,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,hexane,0.17774055618770596,-0.08685135324583775,-0.2645919094335437,0.09598293848252552,-0.16352827630361846,True,131.6,131.6,table,existing product table,158.85961547235075,157.01198796538378
DEHP,isopropanol,-0.012509688473506086,-0.18424633187409212,-0.17173664340058603,-0.46674158016111766,-0.6541672920606678,False,55.81894389488271,53.212278100899375,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,isopropylamine,0.5932565045770126,0.6221621934211962,0.02890568884418354,0.16060057282552964,0.17161910105181943,False,58.66209585729832,55.640332928739625,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,methanol,-0.7535832725691107,-1.0569491772209576,-0.3033659046518469,-1.3450023703270078,-1.6432875803314548,False,40.7,40.7,table,existing product table,158.85961547235075,157.01198796538378
DEHP,methylacetate,0.6512444463185173,0.32494487333753547,-0.32629957298098183,0.21613050611719076,-0.1185688128399301,False,58.33101946745017,56.54824437637754,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,"n,n-dimethylformamide",0.7219892749356869,0.23595616283068502,-0.4860331121050019,0.3094592444211197,-0.18775231072009477,False,61.444565354728276,59.18672896834274,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,o-xylene,0.812022419128756,0.624441917406676,-0.18758050172207996,0.5774843380963677,0.3781455347660539,False,92.57110033559971,89.05051382340096,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,tert-butanol,0.22216305411216342,-0.0795520447983264,-0.3017150989104898,-0.1380316635254017,-0.46236271995126177,True,69.31365324066074,65.03125528448322,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,tetrahydrofuran,1.3913802968684141,1.2017338128915653,-0.1896464839768488,0.9671060739969772,0.7704080549871168,False,59.80524641092493,58.157677444241536,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,tetrahydropyran,1.224177328837786,1.0135549667423265,-0.21062236209545948,0.8782064561937839,0.6572686762568383,False,71.62137168849715,69.1268109430644,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEHP,toluene,0.9444853784393322,0.8076988630472832,-0.136786515392049,0.6444981268803858,0.4998959460415918,False,79.62074839631055,77.29117245989916,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
