convention,solute,solvent,A_retention_order_most_first,B_retention_order_most_first,Spearman_rho,Kendall_tau,A_top_polymer,B_top_polymer,top_changed,A_top_gap_log_units,B_top_gap_log_units
normalized,DBP,acetylacetone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369609
normalized,DBP,benzene,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,chloroform,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350714,0.12208142936369581
normalized,DBP,cyclohexane,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350717,0.12208142936369593
normalized,DBP,cyclohexanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369609
normalized,DBP,dichloromethane,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350714,0.12208142936369604
normalized,DBP,dimethyl sulfoxide,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369609
normalized,DBP,diphenyl ether,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369598
normalized,DBP,dodecane,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350717,0.12208142936369593
normalized,DBP,ethanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350717,0.12208142936369604
normalized,DBP,ethyl acetate,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350717,0.12208142936369598
normalized,DBP,ethylene glycol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369593
normalized,DBP,heptane,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,hexane,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369609
normalized,DBP,isopropanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369598
normalized,DBP,isopropylamine,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,methanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350715,0.12208142936369604
normalized,DBP,methylacetate,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369609
normalized,DBP,"n,n-dimethylformamide",pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369609
normalized,DBP,o-xylene,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350718,0.12208142936369609
normalized,DBP,tert-butanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369598
normalized,DBP,tetrahydrofuran,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369615
normalized,DBP,tetrahydropyran,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,toluene,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,triethylamine,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350717,0.12208142936369606
normalized,DBP,water,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350722,0.12208142936369626
normalized,DEHP,"1,2-propanediol",pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.30627702959499237,0.14567942310128168
normalized,DEHP,1-propanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.1456794231012815
normalized,DEHP,"2,3-dihydropyran",pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949917,0.14567942310128146
normalized,DEHP,2-butanone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,acetic acid,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,acetone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128162
normalized,DEHP,acetylacetone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.30627702959499187,0.1456794231012815
normalized,DEHP,benzene,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949917,0.14567942310128124
normalized,DEHP,chloroform,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949928,0.14567942310128146
normalized,DEHP,cyclohexane,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,cyclohexanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
