name,smiles,plastchem_id,cas,inchikey,molecular_weight_g_mol,flag
3-(Tris(trimethylsiloxy)silyl)propyl methacrylate,CC(=C)C(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,4014,17096-07-0,BESKSSIEODQWBP-UHFFFAOYSA-N,422.8,silicon
3-Aminopropyltriethoxysilane,CCO[Si](CCCN)(OCC)OCC,15440,919-30-2,WYTZZXDRDKSJID-UHFFFAOYSA-N,221.37,silicon
3-Aminopropyltrimethoxysilane,CO[Si](CCCN)(OC)OC,2831,13822-56-5,SJECZPVISLOESU-UHFFFAOYSA-N,179.29,silicon
3-Chloropropylmethyldimethoxysilane,CO[Si](C)(CCCCl)OC,4258,18171-19-2,KNTKCYKJRSMRMZ-UHFFFAOYSA-N,182.72,silicon
3-Cyanopropyltrichlorosilane,C(CC#N)C[Si](Cl)(Cl)Cl,799,1071-27-8,HMFFOEBLYHLRQN-UHFFFAOYSA-N,202.54,silicon
3-Glycidoxypropyldimethoxymethylsilane,CO[Si](C)(CCCOCC1CO1)OC,11590,65799-47-5,WHGNXNCOTZPEEK-UHFFFAOYSA-N,220.34,silicon
3-Isocyanatopropyltrimethoxysilane,CO[Si](CCCN=C=O)(OC)OC,3447,15396-00-6,FMGBDYLOANULLW-UHFFFAOYSA-N,205.28,silicon
3-Mercaptopropylmethyldimethoxysilane,CO[Si](C)(CCCS)OC,7165,31001-77-1,IKYAJDOSWUATPI-UHFFFAOYSA-N,180.34,silicon
3-Methacryloxypropylmethyldiethoxysilane,CCO[Si](C)(CCCOC(=O)C(=C)C)OCC,11520,65100-04-1,DOYKFSOCSXVQAN-UHFFFAOYSA-N,260.4,silicon
3-Methacryloxypropylmethyldimethoxysilane,CC(=C)C(=O)OCCC[Si](C)(OC)OC,3156,14513-34-9,LZMNXXQIQIHFGC-UHFFFAOYSA-N,232.35,silicon
"4,4,13,13-Tetraethoxy-3,14-dioxa-8,9-dithia-4,13-disilahexadecane",CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,10007,56706-10-6,FBBATURSCRIBHN-UHFFFAOYSA-N,474.8,silicon
4-((Triethoxysilyl)methyl)morpholine,CCO[Si](CN1CCOCC1)(OCC)OCC,5005,21743-27-1,UOCZMUZYGLTGHO-UHFFFAOYSA-N,263.41,silicon
"4-[3-(Diethoxymethylsilyl)propoxy]-2,2,6,6-tetramethylpiperidine",CCO[Si](C)(CCCOC1CC(NC(C1)(C)C)(C)C)OCC,311,102089-33-8,PTUAFEVULPLJPF-UHFFFAOYSA-N,331.6,silicon
4-Aminobutyltriethoxysilane,CCO[Si](CCCCN)(OCC)OCC,7096,3069-30-5,SWDDLRSGGCWDPH-UHFFFAOYSA-N,235.4,silicon
"[(1,1-Dimethyl-2-propynyl)oxy]trimethylsilane",CC(C)(C#C)O[Si](C)(C)C,4202,17869-77-1,JNRUXZIXAXHXTN-UHFFFAOYSA-N,156.3,silicon
[Diethoxy(methyl)silyl]methyl 2-methylprop-2-enoate,CCO[Si](C)(COC(=O)C(=C)C)OCC,8216,3978-58-3,GXDZOSLIAABYHM-UHFFFAOYSA-N,232.35,silicon
Allyltriethoxysilane,CCO[Si](CC=C)(OCC)OCC,5887,2550-04-1,UMFJXASDGBJDEB-UHFFFAOYSA-N,204.34,silicon
Allyltrimethoxysilane,CO[Si](CC=C)(OC)OC,5892,2551-83-9,LFRDHGNFBLIJIY-UHFFFAOYSA-N,162.26,silicon
Allyltrimethylsilane,C[Si](C)(C)CC=C,13615,762-72-1,HYWCXWRMUZYRPH-UHFFFAOYSA-N,114.26,silicon
"Benzaldehyde, 2,5-bis[(trimethylsilyl)oxy]-",C[Si](C)(C)OC1=CC(=C(C=C1)O[Si](C)(C)C)C=O,9930,56114-69-3,OGDNDISFPNBJNB-UHFFFAOYSA-N,282.48,silicon
Bis(3-(triethoxysilyl)propyl)amine,CCO[Si](CCCNCCC[Si](OCC)(OCC)OCC)(OCC)OCC,2665,13497-18-2,RWLDCNACDPTRMY-UHFFFAOYSA-N,425.7,silicon
Bis(3-glycidoxypropyl)tetramethyldisiloxane,C[Si](C)(CCCOCC1CO1)O[Si](C)(C)CCCOCC2CO2,2059,126-80-7,MFIBZDZRPYQXOM-UHFFFAOYSA-N,362.61,silicon
Bis(N-methylbenzamido)methylethoxysilane,CCO[Si](C)(N(C)C(=O)C1=CC=CC=C1)N(C)C(=O)C2=CC=CC=C2,3750,16230-35-6,BLEJWUIEUACHKH-UHFFFAOYSA-N,356.5,silicon
Bis(trimethoxysilylpropyl)amine,CO[Si](CCCNCCC[Si](OC)(OC)OC)(OC)OC,14372,82985-35-1,TZZGHGKTHXIOMN-UHFFFAOYSA-N,341.55,silicon
Bis[2-(trimethylsilyloxy)ethyl] Ether,C[Si](C)(C)OCCOCCO[Si](C)(C)C,3892,16654-74-3,VZCNNAQIFXLAEZ-UHFFFAOYSA-N,250.48,silicon
"Bis[3-(2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undec-1-YL)propyl] disulfide",C1CO[Si]2(OCCN1CCO2)CCCSSCCC[Si]34OCCN(CCO3)CCO4,14892,883794-93-2,JPSITVNBUQSBEV-UHFFFAOYSA-N,496.8,silicon
"Chloro(3,3-dimethylbutyl)dimethylsilane",CC(C)(C)CC[Si](C)(C)Cl,15893,96220-76-7,LGEJHPHGNSBWOF-UHFFFAOYSA-N,178.77,silicon
Chloro(chloromethyl)dimethylsilane,C[Si](C)(CCl)Cl,4026,1719-57-9,ITKVLPYNJQOCPW-UHFFFAOYSA-N,143.08,silicon
Chlorodimethyl(2-methylbutyl)silane,CCC(C)C[Si](C)(C)Cl,12974,71864-46-5,AJNBBVTVDUXJNX-UHFFFAOYSA-N,164.75,silicon
Chlorodimethyloctadecylsilane,CCCCCCCCCCCCCCCCCC[Si](C)(C)Cl,4373,18643-08-8,GZGREZWGCWVAEE-UHFFFAOYSA-N,347.1,silicon
Chlorodimethylphenylsilane,C[Si](C)(C1=CC=CC=C1)Cl,13687,768-33-2,KWYZNESIGBQHJK-UHFFFAOYSA-N,170.71,silicon
Chlorodimethylvinylsilane,C[Si](C)(C=C)Cl,4027,1719-58-0,XSDCTSITJJJDPY-UHFFFAOYSA-N,120.65,silicon
Chloromethyltrimethylsilane,C[Si](C)(C)CCl,5257,2344-80-1,OOCUOKHIVGWCTJ-UHFFFAOYSA-N,122.67,silicon
Chlorotriethylsilane,CC[Si](CC)(CC)Cl,16075,994-30-9,DCFKHNIGBAHNSS-UHFFFAOYSA-N,150.72,silicon
"Cyclohexanamine, N-[(triethoxysilyl)methyl]-",CCO[Si](CNC1CCCCC1)(OCC)OCC,6236,26495-91-0,WUFHQGLVNNOXMP-UHFFFAOYSA-N,275.46,silicon
"Cyclohexanamine, N-[3-(trimethoxysilyl)propyl]-",CO[Si](CCCNC1CCCCC1)(OC)OC,7091,3068-78-8,KGNDVXPHQJMHLX-UHFFFAOYSA-N,261.43,silicon
Cyclohexyldimethoxymethylsilane,CO[Si](C)(C1CCCCC1)OC,4200,17865-32-6,SJJCABYOVIHNPZ-UHFFFAOYSA-N,188.34,silicon
Cyclomethicone 5,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,9614,541-02-6,XMSXQFUHVRWGNA-UHFFFAOYSA-N,370.77,silicon
"Cyclotrisiloxane, 2,4,6-trimethyl-2,4,6-tris(3,3,3-trifluoropropyl)-",C[Si]1(O[Si](O[Si](O1)(C)CCC(F)(F)F)(C)CCC(F)(F)F)CCC(F)(F)F,5301,2374-14-3,URZHQOCYXDNFGN-UHFFFAOYSA-N,468.53,silicon
Decamethyltetrasiloxane,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2983,141-62-8,YFCGDEUVHLPRCZ-UHFFFAOYSA-N,310.68,silicon
Decyltrimethoxysilane,CCCCCCCCCC[Si](OC)(OC)OC,9874,5575-48-4,KQAHMVLQCSALSX-UHFFFAOYSA-N,262.46,silicon
Di-tert-butoxydiacetoxysilane,CC(=O)O[Si](OC(=O)C)(OC(C)(C)C)OC(C)(C)C,2367,13170-23-5,OPARTXXEFXPWJL-UHFFFAOYSA-N,292.4,silicon
Dibutoxy(dimethyl)silane,CCCCO[Si](C)(C)OCCCC,3632,1591-02-2,GQNWJCQWBFHQAO-UHFFFAOYSA-N,204.38,silicon
Dichloro(chloromethyl)methylsilane,C[Si](CCl)(Cl)Cl,3498,1558-33-4,JAYBZWYBCUJLNQ-UHFFFAOYSA-N,163.5,silicon
Dichlorodimethylsilane,C[Si](C)(Cl)Cl,13494,75-78-5,LIKFHECYJZWXFJ-UHFFFAOYSA-N,129.06,silicon
Dichlorodiphenylsilane,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(Cl)Cl,14091,80-10-4,OSXYHAQZDCICNX-UHFFFAOYSA-N,253.19,silicon
Dichloromethylphenylsilane,C[Si](C1=CC=CC=C1)(Cl)Cl,3300,149-74-6,GNEPOXWQWFSSOU-UHFFFAOYSA-N,191.13,silicon
Dichloromethyltetradecylsilane,CCCCCCCCCCCCCC[Si](C)(Cl)Cl,10328,59086-80-5,LRYJACVYKNBVNI-UHFFFAOYSA-N,311.4,silicon
Dichloromethylvinylsilane,C[Si](C=C)(Cl)Cl,1993,124-70-9,YLJJAVFOBDSYAN-UHFFFAOYSA-N,141.07,silicon
Dicyclopentyldimethoxysilane,CO[Si](C1CCCC1)(C2CCCC2)OC,2096,126990-35-0,JWCYDYZLEAQGJJ-UHFFFAOYSA-N,228.4,silicon
Diethoxy(methyl)(3-(oxiran-2-ylmethoxy)propyl)silane,CCO[Si](C)(CCCOCC1CO1)OCC,6783,2897-60-1,OTARVPUIYXHRRB-UHFFFAOYSA-N,248.39,silicon
Diethoxydimethylsilane,CCO[Si](C)(C)OCC,13966,78-62-6,YYLGKUPAFFKGRQ-UHFFFAOYSA-N,148.28,silicon
Diethoxydiphenylsilane,CCO[Si](C1=CC=CC=C1)(C2=CC=CC=C2)OCC,5896,2553-19-7,ZZNQQQWFKKTOSD-UHFFFAOYSA-N,272.41,silicon
Diethoxymethylvinylsilane,CCO[Si](C)(C=C)OCC,9762,5507-44-8,MBGQQKKTDDNCSG-UHFFFAOYSA-N,160.29,silicon
Diethoxy{2-ethoxy-2-[(oxiran-2-yl)methoxy]ethyl}methylsilane,CCOC(C[Si](C)(OCC)OCC)OCC1CO1,2899,139485-54-4,LZFQRUUGQJDNFL-UHFFFAOYSA-N,278.42,silicon
Diisobutyldimethoxysilane,CC(C)C[Si](CC(C)C)(OC)OC,4216,17980-32-4,NHYFIJRXGOQNFS-UHFFFAOYSA-N,204.38,silicon
Diisopropyldimethoxysilane,CC(C)[Si](C(C)C)(OC)OC,4278,18230-61-0,VHPUZTHRFWIGAW-UHFFFAOYSA-N,176.33,silicon
Dimethoxy(methyl)(octadecyl)silane,CCCCCCCCCCCCCCCCCC[Si](C)(OC)OC,12817,70851-50-2,UBCPEZPOCJYHPM-UHFFFAOYSA-N,358.7,silicon
Dimethoxydimethylsilane,CO[Si](C)(C)OC,1146,1112-39-6,JJQZDUKDJDQPMQ-UHFFFAOYSA-N,120.22,silicon
Dimethoxydiphenylsilane,CO[Si](C1=CC=CC=C1)(C2=CC=CC=C2)OC,12175,6843-66-9,AHUXYBVKTIBBJW-UHFFFAOYSA-N,244.36,silicon
Dimethoxymethylphenylsilane,CO[Si](C)(C1=CC=CC=C1)OC,7004,3027-21-2,CVQVSVBUMVSJES-UHFFFAOYSA-N,182.29,silicon
Dimethoxymethylvinylsilane,CO[Si](C)(C=C)OC,3914,16753-62-1,ZLNAFSPCNATQPQ-UHFFFAOYSA-N,132.23,silicon
Dimethylsilanediol,C[Si](C)(O)O,724,1066-42-8,XCLIHDJZGPCUBT-UHFFFAOYSA-N,92.17,silicon
Diphenylsilanediol,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(O)O,15729,947-42-2,OLLFKUHHDPMQFR-UHFFFAOYSA-N,216.31,silicon
Dodecamethylcyclohexasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,9602,540-97-6,IUMSDRXLFWAGNT-UHFFFAOYSA-N,444.92,silicon
Dodecamethylpentasiloxane,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2984,141-63-9,FBZANXDWQAVSTQ-UHFFFAOYSA-N,384.84,silicon
Dodecyltrichlorosilane,CCCCCCCCCCCC[Si](Cl)(Cl)Cl,8738,4484-72-4,BNCXNUWGWUZTCN-UHFFFAOYSA-N,303.8,silicon
Dodecyltriethoxysilane,CCCCCCCCCCCC[Si](OCC)(OCC)OCC,4351,18536-91-9,YGUFXEJWPRRAEK-UHFFFAOYSA-N,332.6,silicon
"Ethanimidic acid, N-(trimethylsilyl)-, trimethylsilyl ester",CC(=N[Si](C)(C)C)O[Si](C)(C)C,513,10416-59-8,SIOVKLKJSOKLIF-UHFFFAOYSA-N,203.43,silicon
"Ethanol, 2,2'-[[3-(triethoxysilyl)propyl]imino]bis-",CCO[Si](CCCN(CCO)CCO)(OCC)OCC,13529,7538-44-5,IYAYDWLKTPIEDC-UHFFFAOYSA-N,309.47,silicon
Ethoxydimethylvinylsilane,CCO[Si](C)(C)C=C,9540,5356-83-2,JEWCZPTVOYXPGG-UHFFFAOYSA-N,130.26,silicon
Ethoxytrimethylsilane,CCO[Si](C)(C)C,4285,1825-62-3,RSIHJDGMBDPTIM-UHFFFAOYSA-N,118.25,silicon
Ethyl trihydrogen orthosilicate,CCO[Si](O)(O)O,1060,1109-96-2,JKGITWJSGDFJKO-UHFFFAOYSA-N,124.17,silicon
Ethyltriacetoxysilane,CC[Si](OC(=O)C)(OC(=O)C)OC(=O)C,4162,17689-77-9,KXJLGCBCRCSXQF-UHFFFAOYSA-N,234.28,silicon
Ethyltrichlorosilane,CC[Si](Cl)(Cl)Cl,1358,115-21-9,ZOYFEXPFPVDYIS-UHFFFAOYSA-N,163.5,silicon
Ethyltrimethoxysilane,CC[Si](OC)(OC)OC,9486,5314-55-6,SBRXLTRZCJVAPH-UHFFFAOYSA-N,150.25,silicon
Hexadecyltriethoxysilane,CCCCCCCCCCCCCCCC[Si](OCC)(OCC)OCC,3829,16415-13-7,OYGYKEULCAINCL-UHFFFAOYSA-N,388.7,silicon
Hexadecyltrimethoxysilane,CCCCCCCCCCCCCCCC[Si](OC)(OC)OC,3828,16415-12-6,RSKGMYDENCAJEN-UHFFFAOYSA-N,346.6,silicon
Hexamethylcyclotrisiloxane,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,9615,541-05-9,HTDJPCNNEPUOOQ-UHFFFAOYSA-N,222.46,silicon
Hexamethyldisilane,C[Si](C)(C)[Si](C)(C)C,3152,1450-14-2,NEXSMEBSBIABKL-UHFFFAOYSA-N,146.38,silicon
Hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C,16108,999-97-3,FFUAGWLWBBFQJT-UHFFFAOYSA-N,161.39,silicon
Hexamethyldisiloxane,C[Si](C)(C)O[Si](C)(C)C,770,107-46-0,UQEAIHBTYFGYIE-UHFFFAOYSA-N,162.38,silicon
Hexyltrichlorosilane,CCCCCC[Si](Cl)(Cl)Cl,15526,928-65-4,LFXJGGDONSCPOF-UHFFFAOYSA-N,219.6,silicon
Hexyltrimethoxysilane,CCCCCC[Si](OC)(OC)OC,7093,3069-19-0,CZWLNMOIEMTDJY-UHFFFAOYSA-N,206.35,silicon
Iodotrimethylsilane,C[Si](C)(C)I,3661,16029-98-4,CSRZQMIRAZTJOY-UHFFFAOYSA-N,200.09,silicon
